2010-11-26 16:51:50 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 16:56:34 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 16:59:00 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 16:59:27 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 17:03:23 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 17:05:11 Notice: Notice (8): Undefined variable: count in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 9]
2010-11-26 17:07:56 Notice: Notice (8): Undefined offset:  0 in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 10]
2010-11-26 17:07:56 Notice: Notice (8): Undefined offset:  1 in [/home/shishir/public_html/answers/app/views/tags/index.ctp, line 10]
2010-11-27 10:23:58 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:27:55 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:27:56 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:27:57 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:27:58 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:28:43 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:28:44 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:29:12 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:29:13 Notice: Notice (8): Undefined variable: facebook in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 3]
2010-11-27 10:56:35 Notice: Notice (8): Trying to get property of non-object in [/home/shishir/public_html/answers/app/vendors/Auth/OpenID/google_discovery.php, line 174]
2010-11-27 11:30:16 Notice: Notice (8): Object of class FacebookHelper to string conversion in [/home/shishir/public_html/answers/app/views/elements/topmenu.ctp, line 5]
2010-11-27 11:30:16 Notice: Notice (8): Undefined property: View::$Object in [/home/shishir/public_html/answers/app/views/elements/topmenu.ctp, line 5]
2010-11-27 11:47:22 Notice: Notice (8): Object of class FacebookHelper to string conversion in [/home/shishir/public_html/answers/app/views/elements/topmenu.ctp, line 5]
2010-11-27 11:47:22 Notice: Notice (8): Undefined property: View::$Object in [/home/shishir/public_html/answers/app/views/elements/topmenu.ctp, line 5]
2010-11-27 11:47:48 Notice: Notice (8): Undefined property: FacebookHelper::$me in [/home/shishir/public_html/answers/app/views/elements/topmenu.ctp, line 5]
2010-11-27 13:08:10 Notice: Notice (8): Undefined variable: fulldata in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 4]
2010-11-27 15:26:52 Notice: Notice (8): Undefined variable: tags in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 4]
2010-11-27 15:47:31 Notice: Notice (8): Undefined index:  QuestionsTag in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 24]
2010-11-27 15:47:31 Notice: Notice (8): Undefined index:  id in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 24]
2010-11-27 15:49:03 Notice: Notice (8): Undefined index:  QuestionsTag in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 24]
2010-11-27 15:52:17 Notice: Notice (8): Undefined offset:  2 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:52:17 Notice: Notice (8): Undefined offset:  3 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:54:31 Notice: Notice (8): Undefined offset:  2 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:54:31 Notice: Notice (8): Undefined offset:  3 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:54:44 Notice: Notice (8): Undefined offset:  2 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:54:44 Notice: Notice (8): Undefined offset:  3 in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:57:48 Notice: Notice (8): Undefined index:  Question in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:57:48 Notice: Notice (8): Undefined variable: loop in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:58:20 Notice: Notice (8): Undefined index:  QuestionsTag in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 15:58:55 Notice: Notice (8): Undefined index:  QuestionsTag in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 26]
2010-11-27 17:03:59 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 34]
2010-11-27 17:03:59 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 66]
2010-11-27 17:04:05 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 34]
2010-11-27 17:04:05 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 66]
2010-11-27 17:04:31 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 34]
2010-11-27 17:04:31 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 66]
2010-11-27 17:04:42 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 34]
2010-11-27 17:04:42 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 66]
2010-11-27 17:25:00 Notice: Notice (8): Undefined variable: Html in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 37]
2010-11-27 17:25:02 Notice: Notice (8): Undefined variable: Html in [/home/shishir/public_html/answers/app/views/questions/index.ctp, line 37]
2010-11-27 17:38:34 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/users/view.ctp, line 156]
2010-11-27 17:38:34 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/users/view.ctp, line 201]
2010-11-27 17:38:40 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 26]
2010-11-27 17:38:47 Notice: Notice (8): Undefined index:  date in [/home/shishir/public_html/answers/app/views/questions/unresolved.ctp, line 27]
